,description
88,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 95000, 'max_yearly_salary': 135000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analytics', 'Tableau', 'Python', 'SQL']}"
89,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 80000, 'max_yearly_salary': 130000, 'required_degree': None, 'remote_work': False, 'required_skills': ['analytical', 'SQL', 'R', 'Python', 'Tableau', 'automation', 'problem-solving', 'communication']}"
90,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['Excel', 'Power BI', 'data entry', 'data reporting', 'analytical skills', 'communication skills']}"
91,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'analytical thinking', 'technical data skills', 'communication', 'relationship building', 'teamwork', 'creative solutions', 'task prioritization']}"
92,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['business analysis', 'data governance', 'data warehousing', 'data cleansing', 'data profiling', 'data modeling', 'business intelligence', 'data sensitivity']}"
93,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['ETL processes', 'business rules', 'data modeling', 'data mapping', 'data dictionaries', 'reporting', 'visualizations', 'team collaboration']}"
94,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['SQL Data Analysis', 'SQL Querying', 'Functional Specification Documentation', 'Cross-Functional Initiatives', 'Analytical Strategies', 'Statistical Analysis', 'Reporting', 'Graphing', 'Dashboards', 'MS SQL Server', 'Data Solutions', 'Collaboration', 'Data Extraction', 'Data Manipulation', 'Data Analysis']}"
95,"{'min_years_of_experience': None, 'min_hourly_salary': 41, 'max_hourly_salary': 64, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'PhD', 'remote_work': False, 'required_skills': ['cloud data systems', 'research', 'data exploration', 'machine learning', 'data cleaning', 'data transformation', 'database systems']}"
96,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 90000, 'max_yearly_salary': 100000, 'required_degree': None, 'remote_work': True, 'required_skills': ['Cryptography', 'Encryption', 'PKI', 'Snowflake', 'SQL', 'Collaboration']}"
97,"{'min_years_of_experience': 1, 'min_hourly_salary': 50, 'max_hourly_salary': 60, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data querying', 'SQL', 'TOAD', 'Tableau', 'Excel', 'data analysis', 'performance', 'attribution', 'fixed income', 'risk', 'reporting', 'visualization', 'AI/ML', 'R', 'Python', 'Scala', 'asset allocation', 'project management', 'analytical skills']}"
98,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': True, 'required_skills': ['data analysis', 'Tableau', 'PowerBI', 'Looker', 'analytical skills', 'problem-solving', 'communication', 'presentation', 'Microsoft Excel', 'iWork Suite', 'Apple Pay ecosystem', 'contact centers']}"
99,"{'min_years_of_experience': None, 'min_hourly_salary': 26, 'max_hourly_salary': 26, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['data analytics', 'data science', 'Python', 'R', 'SQL', 'Microsoft Office', 'problem solving', 'business analysis', 'communication', 'interpersonal skills']}"
100,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['Alteryx', 'data analysis', 'data preparation', 'automated workflows', 'data visualization', 'data cleansing', 'predictive modeling', 'macros', 'data comparison', 'SQL']}"
101,"{'min_years_of_experience': None, 'min_hourly_salary': 23, 'max_hourly_salary': 32, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['data analysis', 'programming', 'SQL', 'Python', 'UI/UX', 'ETL', 'data visualization']}"
102,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['data analysis', 'SQL', 'data warehousing', 'ETL', 'leadership', 'mentorship']}"
103,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['SQL', 'Python', 'data visualization']}"
104,"{'min_years_of_experience': 0, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['Python', 'R', 'statistical analysis', 'data visualization', 'mathematics']}"
105,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['Data Analysis', 'Data Visualization', 'Statistical Analysis', 'Database Management', 'Problem-solving', 'Attention to Detail']}"
106,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'healthcare analytics', 'business intelligence', 'complex data analysis', 'workforce modeling', 'health informatics', 'stakeholder management', 'project management', 'communication', 'teamwork']}"
107,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 110900, 'max_yearly_salary': 184800, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['data analysis', 'people analytics', 'statistical analysis', 'data visualization']}"
108,"{'min_years_of_experience': 6, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 157000, 'max_yearly_salary': 217500, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data analysis', 'analytics tools', 'communication skills', 'analytical storytelling', 'A/B testing', 'data science techniques', 'mentoring']}"
109,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['SharePoint', 'Power BI', 'Power Automate', 'TypeScript', 'React', 'Angular', 'Python', 'PowerShell', 'Bash', 'DAX', 'Power Query']}"
110,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['technical skills', 'data analysis', 'statistics', 'hypothesis testing', 'leadership', 'communication', 'strategic thinking', 'problem-solving', 'teamwork']}"
111,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 87000, 'max_yearly_salary': 105000, 'required_degree': None, 'remote_work': True, 'required_skills': ['data quality', 'data analysis', 'SQL', 'risk reporting', 'data governance', 'data mapping', 'data visualization', 'business analytics', 'data protection', 'data management']}"
112,"{'min_years_of_experience': 3, 'min_hourly_salary': 52, 'max_hourly_salary': 55, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['Business Analysis', 'Data Analysis', 'SQL']}"
113,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data analysis', 'data engineering', 'Power BI', 'SQL', 'Python', 'R', 'Tableau', 'analytical skills', 'problem-solving', 'communication', 'collaboration', 'geospatial analysis', 'database management']}"
114,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 75000, 'max_yearly_salary': 115000, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data analysis', 'SQL', 'Excel', 'data visualization', 'Python', 'R', 'problem-solving', 'communication', 'attention to detail']}"
115,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data pipelines', 'data governance', 'business intelligence', 'communication skills', 'attention to detail', 'data products', 'Domo', 'Tableau', 'PowerBI']}"
116,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS/BS', 'remote_work': False, 'required_skills': ['SAS programming', 'data management', 'clinical trials', 'custom reporting', 'Python', 'Business Objects', 'data integrity', 'communication', 'teamwork']}"
117,"{'min_years_of_experience': 2, 'min_hourly_salary': 40, 'max_hourly_salary': 45, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data analysis', 'data validation', 'process controls', 'Excel', 'presentation skills']}"
118,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 100000, 'max_yearly_salary': 500000, 'required_degree': None, 'remote_work': False, 'required_skills': ['data transformation', 'dashboard building', 'SQL', 'data modeling', 'collaboration', 'data visualization', 'emerging analytics']}"
119,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'data visualization', 'data modeling', 'data science', 'data warehousing', 'Python', 'R', 'communication', 'time management']}"
120,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'digital operations', 'data governance', 'marketing operations', 'Google Analytics', 'advanced Excel', 'ERP systems', 'MS PowerBI']}"
121,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['logistics coordination', 'Excel', 'SQL', 'data analysis', 'communication', 'problem-solving']}"
122,"{'min_years_of_experience': 0, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 60000, 'max_yearly_salary': 75000, 'required_degree': 'Undergraduate or graduate degree in Math, Computer Science, Data Science or a related discipline preferred', 'remote_work': False, 'required_skills': ['programming', 'SAS', 'Python', 'R', 'Linux', 'Hadoop', 'SQL', 'linear algebra', 'statistical methods', 'machine learning', 'MS Excel', 'quantitative skills', 'data manipulation', 'communication skills']}"
123,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['Data collection', 'Data Analysis', 'Reporting', 'Market research', 'Fillet production', 'Microsoft Office', 'Power BI', 'SQL', 'Python']}"
124,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['Snowflake', 'Power BI', 'dbt', 'GitLab', 'Python', 'SQL', 'Tableau', 'Domo', 'R', 'SQL Server', 'Elasticsearch', 'Kibana', 'Grafana', 'visual design', 'communication', 'attention to detail']}"
125,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': True, 'required_skills': ['data collection', 'data analysis', 'report generation', 'communication', 'SQL', 'data visualization', 'team collaboration', 'problem solving']}"
126,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['Excel', 'SQL', 'Python', 'R', 'data visualization', 'quantitative analysis', 'data manipulation']}"
127,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['data analysis', 'SQL', 'Python', 'communication', 'critical thinking']}"
128,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 83000, 'max_yearly_salary': 98000, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['Statistical modeling', 'Literature review', 'Data presentation', 'Machine learning', 'Data cleaning', 'Data analysis', 'Research']}"
129,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'data mining', 'Power BI', 'Microsoft Excel', 'SQL', 'data modeling', 'data visualization', 'problem-solving', 'organization']}"
